resourceID,resourceCategory,resourceSubcategory,resourceTitle,resourceDescription,resourceUrl,resourceTags,resourceKeywords
ID0001,Quality Control and Assessment,Guidelines and best practices,ISO Guide 80:2014: Guidance for in-house preparation of quality control materials,"ISO Guide 80:2014 guidance for the in-house preparation of quality control materials (QCMs). ISO Guide 80 outlines the characteristics and preparation processes of reference materials for quality control. It applies to stable materials used locally and those transported without significant property changes. Laboratory staff preparing in-house quality control materials should follow ISO Guides 34 and 35 for transportation-based supply chains. The preparation of quality control materials requires assessments for homogeneity, stability, and limited characterization. It aims to demonstrate statistical control in a measurement system but does not provide usage guidance. The guide offers general information on preparation and includes case studies for different sectors. Users should have material knowledge and be aware of matrix effects and contamination risks.",https://www.iso.org/standard/44313.html,"ISO standard, epigenomics, genomics, guideline, internal quality control (IQC), metabolomics, multi-omics, proteomics, reference material, transcriptomics","guidelines, quality control material, in-house, ISO Guide 80:2014, Quality Control Materials, QCMs, ISO Guide 80, Reference Materials, Quality Control, Stable Materials, Transportation, ISO Guides 34, ISO Guide 35, Homogeneity, Stability, Characterization, Statistical Control, Measurement System, Usage Guidance, Preparation, Case Studies, Material Knowledge, Matrix Effects, Contamination Risks"
ID0002,Quality Control and Assessment,Guidelines and best practices,"ISO Guide 31:2015: Reference material - contents of certificates, labels and accompanying documentation","ISO Guide 31:2015 guideline assists reference material (RM) producers in creating comprehensive documentation for their RMs. It outlines the essential information to include in product information sheets and RM certificates, categorizing them as mandatory, recommended, or optional. This information helps users and stakeholders assess the appropriateness of an RM or Certified Reference Material (CRM). This guideline also sets out the minimum criteria for labeling the RM container.",https://www.iso.org/standard/52468.html,"ISO standard, epigenomics, genomics, guideline, internal quality control (IQC), metabolomics, multi-omics, proteomics, reference material, transcriptomics","Certified Reference Material (CRM), IQC, ISO Guide 31:2015, RM, RM certificates, RM container, comprehensive documentation, documentation, guideline, guidelines, internal quality control, internal quality control (IQC), labeling, minimum criteria, product information sheets, quality, quality control, reference material producers, synonyms, type of resource"
ID0003,Quality Control and Assessment,Reference materials for quality control,ERCC RNA Spike-In Mix: ThermoFisher Scientific catalog number 4456740,"Variation in RNA expression data can be attributed to a variety of factors including the quality of the starting material, the level of cellularity and RNA yield, the platform employed, and the person performing the experiment. To control for these sources of variability, a common set of external RNA controls has been developed by the External RNA Controls Consortium (ERCC), an ad-hoc group of academic, private, and public organizations hosted by the National Institute of Standards and Technology (NIST). The controls consist of a set of unlabeled, polyadenylated transcripts designed to be added to an RNA analysis experiment after sample isolation, in order to measure against defined performance criteria. Up until the design of such universally accepted controls, it has been difficult to execute a thorough investigation of fundamental analytical performance metrics. From the trusted brand of quality RNA reagents, Ambion™ ERCC Spike-In Control Mixes are commercially available, pre-formulated blends of 92 transcripts, derived and traceable from NIST-certified DNA plasmids. The transcripts are designed to be 250 to 2,000 nt in length, which mimic natural eukaryotic mRNAs.",https://www.thermofisher.com/order/catalog/product/4456740,"genomics, internal quality control (IQC), mRNA, multi-omics, reference material, sequencing, transcriptomics","NGS, RNA sequencing, RNA-seq, assay type, measurement type, next generation sequencing, sequencing, synonyms"
ID0004,Quality Control and Assessment,Reference materials for quality control,Universal Human Reference RNA: ThermoFisher Scientific catalog number QS0639,"Universal Human Reference RNA is an RNA extract used as a positive control in QuantiGene assays. The Universal Human Reference RNA is composed of total RNA from 10 human cell lines (Adenocarcinoma, mammary gland; Melanoma; Hepatoblastoma, liver; Liposarcoma; Adenocarcinoma, cervix; Histiocytic lymphoma, macrophage, histocyte; Embryonal carcinoma, testis; Lymphoblastic leukemia, T lymphoblast; Glioblastoma, brain; Plasmacytoma; myeloma; B lymphocyte). Equal quantities of DNase-treated total RNA from each cell line were pooled to make the universal control.",https://www.thermofisher.com/order/catalog/product/QS0639,"PCR, internal quality control (IQC), multi-omics, reference material, sequencing, transcriptomics","NGS, PCR, RNA sequencing, RNA-seq, RT-PCR, assay type, experimental data, measurement type, miRNA-seq, next generation sequencing, nucleic acid quantitation, omics, omics type, sequencing, synonyms, transcriptomics, translational research data, type of omics"
ID0005,Quality Control and Assessment,Reference materials for quality control,Total Human Brain Reference RNA: ThermoFisher Scientific catalog number QS0611,Human Brain Total RNA is a total RNA sample extracted from neural tissue for use as a positive control in QuantiGene assays.,https://www.thermofisher.com/order/catalog/product/QS0611,"internal quality control (IQC), multi-omics, reference material, sequencing, transcriptomics","NGS, RNA sequencing, RNA-seq, assay type, measurement type, next generation sequencing, nucleic acid quantitation, sequencing, synonyms"
ID0006,Quality Control and Assessment,Reference materials for quality control,NIST NA12878: Whole genome sequencing,"NA12878 is a human genomic DNA sample standardised by the National Institute of Standards and Technology (NIST). It serves as a reference standard for the Genome in a Bottle consortium, which is led by NIST. The donor subject, NA12878's mother, carries a single bp (G-to-A) transition at nucleotide 681 in exon 5 of the CYP2C19 gene (CYP2C19*2). This genetic change creates an aberrant splice site, resulting in a 40-bp deletion at the beginning of exon 5 (from bp 643 to bp 682). As a consequence, amino acids 215 to 227 are deleted from the mRNA, causing an alteration in the reading frame and the production of a truncated, nonfunctional protein. The truncated protein contains 234 amino acids and lacks the heme-binding region, rendering it catalytically inactive.",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA12878&Product=DNA,"epigenomics, genomics, internal quality control (IQC), multi-omics, reference material, sequencing","NGS, WGS, assay type, experimental data, genomics, measurement type, next generation sequencing, omics, omics type, sequencing, synonyms, translational research data, type of omics, whole genome"
ID0007,Quality Control and Assessment,Reference materials for quality control,Peptide Mix and Software: Promega catalog number V7491,The Peptide Mix and LC/MS Instrument Performance Monitoring Software includes a 6x5 LC-MS/MS Peptide Reference Mix. This combination provides a comprehensive solution for monitoring and optimising LC/MS instrument performance including sensitivity and dynamic range. Researchers can easily optimise their LC/MS system and ensure reliable and precise results.,https://nld.promega.com/products/mass-spectrometry/mass-spec-reference-reagents/6-x-5-lc_ms_ms-peptide-reference-mix/,"internal quality control (IQC), mass spectrometry, proteomics, reference material",
ID0008,Quality Control and Assessment,Reference materials for quality control,The SEQC2 epigenomics quality control (EpiQC) study: Reference dataset,DNA methylation reference dataset for methylation profiling by high throughput sequencing (Methyl-seq). The full article can be found at https://doi.org/10.1186/s13059-021-02529-2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186383,"epigenomics, genomics, internal quality control (IQC), multi-omics, reference data set, sequencing","EM-seq, EM-seq NGS, Enzymatic Methyl-seq Kit, NEBNext Enzymatic Methyl-seq, assay type, experimental data, genomics, measurement type, methyl-seq, methylation profiling by high throughput sequencing, methylation sequencing, omics, omics type, reference data set, reference dataset, sequencing, somatic genome variations, somatic mutation, somatic mutations, synonyms, translational research data, type of omics, type of resource"
ID0009,Quality Control and Assessment,Reference materials for quality control,DNA Controls in EM-Seq Kit: Unmethylated lambda and CpG-Methylated pUC19,"Unmethylated lambda DNA and CpG-methylated pUC19 DNA, two essential spike-ins employed in EM-seq library preparation. The unmethylated lambda DNA serves to evaluate conversion efficiency, while the CpG-methylated pUC19 DNA acts as a control to ensure accurate and reliable results. These spike-ins play a crucial role in validating the quality of EM-seq libraries, enabling researchers to achieve robust and precise outcomes in their experiments.",https://international.neb.com/faqs/2019/06/04/what-levels-of-conversion-are-typical-with-the-control-dnas-supplied-in-the-em-seq-kit,"DNA, epigenomics, genomics, internal quality control (IQC), multi-omics","CpG methylation, DNA, epigenomics, experimental data, material entity, methyl-seq kit, molecular entity, omics, omics type, organic polymer, sample, translational research data, type of omics, unmethylated lambda DNA"
ID0010,Quality Control and Assessment,Reference materials for quality control,Quality control and data integration of multi-omics profiling: Reference dataset,"Multi-omics reference materials and practical tools to enhance the reproducibility and reliability of multi-omics results (Fudan Quartet samples) provided as part of the Quartet project. These well-characterised resources serve as quality control measures, ensuring accurate data integration in precision medicine studies.",https://chinese-quartet.org/#/dashboard,"epigenomics, genomics, internal quality control (IQC), metabolomics, multi-omics, proteomics, reference data set, transcriptomics","reference data set, reference dataset, synonyms, type of resource"
